name,cluster,x,y,z,radius,color,weight,variance,frequency
Aromatic,1.0,-1.293558333333333,0.7139249999999999,-12.439775000000001,0.662098758263461,purple,2.0,0.026276007430555873,1.0
Aromatic,2.0,-5.810272222222221,0.11118888888888889,-13.061153333333332,1.8946020486327335,purple,3.0,1.005854074108643,1.5
HydrogenAcceptor,1.0,-5.3315,-1.56365,-14.13975,0.6036398330758981,orange,2.0,0.01074121499999993,1.0
HydrogenAcceptor,2.0,-5.33205,1.2257,-12.2488,0.7512364075925304,orange,2.0,0.06311973250000007,1.0
HydrogenAcceptor,3.0,0.15915,2.3023,-9.4099,0.7595823231655039,orange,2.0,0.06738298250000002,1.0
HydrogenAcceptor,4.0,-6.0447,4.4608,-8.2787,0.5,orange,1.0,0.0,0.5
HydrogenDonor,1.0,-6.90175,2.6925499999999998,-11.3539,1.0090135214314053,yellow,2.0,0.2590947649999996,1.0
Hydrophobic,1.0,-5.810272222222221,0.11118888888888889,-13.061153333333332,2.3946020486327333,green,3.0,1.005854074108643,1.5
Hydrophobic,2.0,-1.293558333333333,0.7139249999999999,-12.439775000000001,1.162098758263461,green,2.0,0.026276007430555873,1.0
Hydrophobic,3.0,-1.7912,1.29005,-8.572600000000001,1.197382173713839,green,2.0,0.038959722500000016,1.0
Hydrophobic,4.0,-5.286566666666666,3.8211,-8.602833333333335,1.0,green,1.0,0.0,0.5
