name,cluster,x,y,z,radius,color,weight,variance,frequency
Aromatic,1.0,-9.273633333333333,1.9774249999999998,-12.236474999999999,0.6210805981567669,purple,2.0,0.014660511250000195,0.6666666666666666
Aromatic,2.0,-1.1433277777777777,1.039027777777778,-12.02556666666667,1.1533100334327877,purple,3.0,0.223735924567901,1.0
Aromatic,3.0,-4.9081,1.006633333333333,-11.95435,0.5,purple,1.0,0.0,0.3333333333333333
HydrogenAcceptor,1.0,-13.3228,5.6945,-10.912099999999999,1.209747856636426,orange,2.0,0.50374202,0.6666666666666666
HydrogenAcceptor,2.0,-1.1883000000000001,1.2246333333333335,-9.444566666666667,1.5449085584660296,orange,3.0,0.5659351711111112,1.0
HydrogenAcceptor,3.0,0.6102333333333333,1.3594333333333335,-14.1762,0.8626614337857769,orange,3.0,0.09672697777777768,1.0
HydrogenAcceptor,4.0,1.8451333333333333,1.9649666666666665,-11.5396,1.7579800590187784,orange,3.0,0.8011537644444445,1.0
HydrogenAcceptor,5.0,-5.711166666666667,-1.6646333333333334,-13.8573,0.9885035539504521,orange,3.0,0.16617125777777786,1.0
HydrogenAcceptor,6.0,-6.959533333333333,1.8506,-10.951566666666666,2.0251278817055165,orange,3.0,1.5868784044444444,1.0
HydrogenDonor,1.0,-13.3228,5.6945,-10.912099999999999,1.209747856636426,yellow,2.0,0.50374202,0.6666666666666666
Hydrophobic,1.0,-9.273633333333333,1.9774249999999998,-12.236474999999999,1.1210805981567669,green,2.0,0.014660511250000195,0.6666666666666666
Hydrophobic,2.0,-6.25595,3.51935,-10.49305,1.408126999229407,green,2.0,0.16656764750000014,0.6666666666666666
Hydrophobic,3.0,-4.9081,1.006633333333333,-11.95435,1.0,green,1.0,0.0,0.3333333333333333
Hydrophobic,4.0,-1.8194,1.8932333333333335,-8.555100000000001,1.3153595901682886,green,3.0,0.051344275555555575,1.0
Hydrophobic,5.0,-1.1433277777777777,1.039027777777778,-12.02556666666667,1.6533100334327877,green,3.0,0.223735924567901,1.0
Hydrophobic,6.0,0.014499999999999999,1.2219,-15.408633333333333,1.2706668329227724,green,3.0,0.03702190222222213,1.0
Hydrophobic,7.0,2.4246555555555553,1.4741,-11.187655555555557,2.366403182821488,green,3.0,0.9356231656790132,1.0
