filename,affinity,rmsd,smiles
Z4999836515,-7.40378,0.61849,NCC1(NC(=O)c2ccc3c(c2)CN([C@@H]2CCC(=O)NC2=O)C3=O)CCCCC1
Z5000472659,-7.50703,0.61910,COc1nc(-c2ccc3c(c2)CN([C@@H]2CCC(=O)NC2=O)C3=O)ccc1N
Z8367831091,-4.45589,0.61926,Cc1nc2c(n1C)CN(C(=O)c1cn(-c3ccc4c(c3)CN([C@H]3CCC(=O)NC3=O)C4=O)nn1)CC2
Z2158827957,-7.94119,0.62060,CC(=O)NCc1cccc(-c2nc(-c3cc(N4CCN(C)CC4)ccn3)no2)c1
Z5000468153,-7.93094,0.62727,Cc1cc(N)cnc1-c1ccc2c(c1)CN([C@@H]1CCC(=O)NC1=O)C2=O
Z5000464507,-7.71278,0.62801,Cc1nc(-c2ccc3c(c2)CN([C@@H]2CCC(=O)NC2=O)C3=O)ccc1N
Z5032999848,-6.38711,0.62842,CCn1c(Nc2ccn([C@H]3CCNC3=O)n2)nnc1-c1cc2c(Br)cncc2s1
Z5000470722,-7.24046,0.63265,Nc1ncc(-c2ccc3c(c2)CN([C@@H]2CCC(=O)NC2=O)C3=O)nc1OC1CCC1
Z367607624,13.57929,0.63462,CC(C)NC(=O)NCc1ccc(C(=O)N2CCCN(CC(=O)N(C)C)CC2)cc1
Z4999840345,-7.65542,0.63730,O=C1CC[C@@H](N2Cc3cc(C(=O)Nc4cc(C(=O)O)[nH]n4)ccc3C2=O)C(=O)N1
Z6279656301,-6.34573,0.63867,O=C1CC[C@@H](N2C(=O)c3ccc(-n4cc(C(=O)NCc5ccccc5)nn4)cc3C2=O)C(=O)N1
Z1143247455,-7.90904,0.63919,O=C(O)c1ccc(/C=C/C(=O)c2ccc(N3CCC(O)CC3)cc2)cc1
Z4910859190,-6.99717,0.65274,O=C1CC[C@@H](N2Cc3cc(-n4cc(CO)nn4)ccc3C2=O)C(=O)N1
Z3379439911,-8.20091,0.66163,COc1cc2nc(Nc3ccc(N4CCNCC4)cn3)nc(N)c2cc1OC
Z5000182866,-8.43776,0.66378,CN1C(=O)NCC12CN(C(=O)Nc1ccc3c(c1)CN([C@H]1CCC(=O)NC1=O)C3=O)C2
Z6709864102,-7.76330,0.66439,Cc1cc2c(NC(=O)c3cn([C@H]4CCNC4)nn3)n[nH]c2cc1C#N
Z332894874,-6.61895,0.66504,O=C1NC(=O)/C(=C\c2ccc(C(=O)NCCC(=O)N3CCOCC3)cc2)S1
Z1102137448,-7.51780,0.66522,NS(=O)(=O)Nc1cccc(NC(=O)c2cc3c(s2)CCOC3)c1
Z1130794608,-7.95698,0.66997,O=C1CN(Cc2ccc(C(=O)Nc3ccc4c(c3)NC(=O)CO4)cc2)CCN1
Z4408621968,-7.72276,0.67209,NC(=O)c1cc2cc(Nc3nccc(NC4CCNCC4)n3)ccc2[nH]1
Z2732690307,-7.05567,0.67259,NC(=O)/N=N/c1ccc(C(=O)N[C@H]2CC[C@@H](CO)CC2)cc1
Z5015298719,-7.00300,0.67514,O=C1CC[C@@H](N2Cc3cc(-n4cc(C(=O)N[C@@H]5CC(=O)N6CCCC[C@H]56)nn4)ccc3C2=O)C(=O)N1
Z295352036,-7.45099,0.67529,O=C(NNc1cccc(C(F)(F)F)c1)c1cccc(NS(=O)(=O)c2ccc3c(c2)OCCO3)c1
Z56775027,-7.46525,0.67572,Cn1c(CO)nc2cc(/N=C/c3cc([N+](=O)[O-])ccc3O)ccc21
Z62754877,4.39728,0.67889,CCOc1ccc(NC(=O)CCc2ccc(S(N)(=O)=O)cc2)cc1OCC
Z5000464658,-7.64619,0.68077,Nc1ccc(-c2ccc3c(c2)CN([C@@H]2CCC(=O)NC2=O)C3=O)nn1
Z5015299557,-6.73865,0.68406,O=C1CC[C@@H](N2Cc3cc(-n4cc(C(=O)NC[C@]56C[C@H]5COC65CCC5)nn4)ccc3C2=O)C(=O)N1
Z2608101006,-4.75685,0.68534,Cc1c[nH]c(=O)n1-c1ccc(-c2noc([C@@H]3Cn4cnnc4CN3C)n2)cc1
Z286183270,-8.16872,0.68716,NS(=O)(=O)Cc1ccc(NS(=O)(=O)c2ccc3c(c2)CCC(=O)N3)cc1
Z118696042,-5.03797,0.69054,COc1cccc(NC(=O)c2cc(OC)c(OCC(N)=O)c(OC)c2)c1
Z5000147113,-8.84145,0.69111,CS(=O)(=O)Nc1ccc(S(=O)(=O)Nc2ccc3c(c2)CN([C@H]2CCC(=O)NC2=O)C3=O)cc1
Z397811204,-6.81660,0.69340,N#Cc1ccc(Nc2ccc(N3CCNC(=O)C3)nc2)c([N+](=O)[O-])c1
Z5015300517,-7.27602,0.69855,C[C@@H](NC(=O)c1cn(-c2ccc3c(c2)CN([C@@H]2CCC(=O)NC2=O)C3=O)nn1)C1(O)CCOCC1
Z7694491225,-8.38842,0.69936,CNC(=O)Nc1ccc(-c2nccc(N(C)[C@H]3CCCNCC3)n2)cc1
Z8452091864,-7.12103,0.70128,[H]/N=C(/N)Nc1ccc(C(=O)Nc2cccc(CN(C)C)c2)cc1
Z8339863561,-7.94041,0.70161,O=C1CC[C@@H](N2C(=O)c3ccc(-n4cc([C@]5(c6ccccc6)COCCN5)nn4)cc3C2=O)C(=O)N1
Z8242774982,-6.83983,0.70168,CN1C[C@H](NC(=O)c2cn(-c3ccc4c(c3)CN([C@@H]3CCC(=O)NC3=O)C4=O)nn2)CC12CCCC2
Z4910861012,-8.91826,0.70439,O=C1CC[C@@H](N2Cc3cc(-n4cc(-c5ccc(CO)cc5)nn4)ccc3C2=O)C(=O)N1
Z8346370683,-6.99422,0.70569,C[C@@H]1[C@@H](NC(=O)c2cn(-c3ccc4c(c3)CN([C@H]3CCC(=O)NC3=O)C4=O)nn2)C2CCN1CC2
Z270989150,-7.14976,0.70759,CC(=O)N1CCC(C(=O)Nc2cccc(NC(N)=O)c2)CC1
Z31833879,-7.15902,0.71000,COc1ccc(NS(=O)(=O)c2ccc(NC(=O)[C@@H](CCSC)NC(N)=O)cc2)cc1
Z2412976699,-7.67498,0.71012,Cc1nccn1-c1ccc(-c2noc(-c3cn([C@@H]4CCCNC4)nn3)n2)cn1
Z1143247414,-8.15842,0.71362,COc1ccc(/C=C/C(=O)c2ccc(N3CCC(O)CC3)cc2)cc1
Z368328506,-6.86904,0.71363,CNC(=O)CN1CCC(NC(=O)c2ccc(NC(=O)Nc3ccccc3)cc2)CC1
Z4999840591,-6.51580,0.71751,O=C(O)CCCNC(=O)c1ccc2c(c1)CN([C@@H]1CCC(=O)NC1=O)C2=O
Z4910860933,-6.97016,0.71830,CC(=O)NCc1cn(-c2ccc3c(c2)CN([C@@H]2CCC(=O)NC2=O)C3=O)nn1
Z1551548836,-6.37853,0.72147,C[C@@H]1Sc2ccc(C(=O)Nc3ccc(N(C)CCO)cc3)cc2NC1=O
Z4999806291,-8.89400,0.72635,O=C1CC[C@H](N2Cc3ccc(NC(=O)c4ccc5nccn5c4)cc3C2=O)C(=O)N1
Z3610704616,-6.40104,0.72883,O=C(N[C@H]1C[C@H](Cn2ccnn2)C1)c1ccc(N2CCC(O)CC2)cc1
