,name,cluster,x,y,z,radius,color,weight,variance,frequency
1,Aromatic,1,-1.2008972222210523,0.9720037037035086,-12.147008333331579,1.6594926342121805,purple,19.0,0.23121739584957754,0.59375
2,Aromatic,2,-2.2577966666714286,1.6013822222190475,-10.462417222219047,2.2313152592281202,purple,7.0,0.9215358678986768,0.21875
3,Aromatic,3,-9.372832456138335,1.51635,-12.40111228070167,1.5761982155930099,purple,20.0,0.39956396542543854,0.625
4,Aromatic,4,-5.682583333330303,0.200341,-12.923415,2.036549433119659,purple,11.0,1.162159579085454,0.34375
5,HydrogenAcceptor,1,-12.30395,2.2381,-12.367475,1.8630712795466708,orange,5.0,1.1477323714999996,0.15625
6,HydrogenAcceptor,2,-10.011360000000002,2.02082,-12.42142,2.1163453604969464,orange,6.0,0.963957791333334,0.1875
7,HydrogenAcceptor,3,-15.1386,2.4949333333285715,-10.802783333328572,1.7291132771514288,orange,7.0,0.6232954745238093,0.21875
8,HydrogenAcceptor,4,-14.321800000000001,0.7706,-10.940550000000002,2.3489110883165782,orange,5.0,1.0012369060000004,0.15625
9,HydrogenAcceptor,5,-13.770133333325001,3.826,-13.4933,1.3345028686495874,orange,4.0,0.3227974216666665,0.125
10,HydrogenAcceptor,6,-13.460088888890002,4.717488888890001,-10.777988888889999,1.9595810024084799,orange,10.0,0.7193526766666667,0.3125
11,HydrogenAcceptor,7,-0.508766666675,7.948033333324999,-5.162433333325,1.9997787681348196,orange,4.0,1.6209578500000008,0.125
12,HydrogenAcceptor,8,-2.7967999999999997,5.6569,-6.767179999999999,2.031953092754475,orange,6.0,1.7515693013333327,0.1875
13,HydrogenAcceptor,9,0.5472733333312501,1.2286733333312498,-14.15101333333125,2.3238110781900474,orange,16.0,0.384326381,0.5
14,HydrogenAcceptor,10,1.3554999999999997,1.5636999999999999,-11.668276190477274,2.349405192821166,orange,22.0,0.7368015935497835,0.6875
15,HydrogenAcceptor,11,-1.1256,4.2265,-9.34435,1.1806539594390095,orange,3.0,0.30885987500000006,0.09375
16,HydrogenAcceptor,12,-3.0265,5.825,-9.6525,2.2172908693637194,orange,4.0,1.1138445799999999,0.125
17,HydrogenAcceptor,13,-1.9259400000000004,1.9650400000000001,-10.1046,1.9644202167410825,orange,6.0,0.5384592006666665,0.1875
18,HydrogenAcceptor,14,-0.34114375,2.010375,-9.41970625,2.2223720330051018,orange,17.0,0.7062821987499999,0.53125
19,HydrogenAcceptor,15,-8.135733333325,2.5323,-9.6153,1.5762390910477198,orange,4.0,0.6438230716666673,0.125
20,HydrogenAcceptor,16,-5.8376,3.0749,-10.255366666675,2.0456690237872066,orange,4.0,1.1480030666666663,0.125
21,HydrogenAcceptor,17,-4.8759,3.894466666675,-8.123366666675,1.4563309619988767,orange,4.0,0.5983257583333339,0.125
22,HydrogenAcceptor,18,-6.1578,4.885633333325,-8.098066666675,1.6415293508719984,orange,4.0,0.5520524883333336,0.125
23,HydrogenAcceptor,19,-5.13185,1.6925875000000001,-12.141325,1.7455377837630013,orange,9.0,0.47352750263888865,0.28125
24,HydrogenAcceptor,20,-6.2714142857125,0.5359571428625001,-12.686328571425001,2.0902903045849106,orange,8.0,1.0229119900000003,0.25
25,HydrogenAcceptor,21,-5.328574074075,-1.6170000000000002,-14.000425925925,1.5185014246855855,orange,28.0,0.22641739584656081,0.875
26,HydrogenAcceptor,22,-3.959833333328572,-0.08975000000000001,-13.222250000000003,2.393644566113448,orange,7.0,1.1928220061904755,0.21875
27,HydrogenDonor,1,-13.387625,5.308750000000001,-11.0414,1.522628587574687,yellow,5.0,0.36285938750000024,0.15625
28,HydrogenDonor,2,-15.350866666675,1.9889,-10.6988,0.909210395490688,yellow,4.0,0.08366353666666662,0.125
29,HydrogenDonor,3,-14.065924999999998,3.88585,-10.78295,1.8115159265617031,yellow,5.0,0.6177826174999994,0.15625
30,HydrogenDonor,4,-10.6906,1.395175,-13.533475000000001,2.267763547890384,yellow,5.0,1.0264525109999998,0.15625
31,HydrogenDonor,5,-7.053933333325,2.695366666675,-11.443533333325,1.1786152395266498,yellow,4.0,0.17635013499999985,0.125
32,HydrogenDonor,6,-8.49245,2.7542500000000003,-9.27905,1.1472466357579627,yellow,3.0,0.27928547166666684,0.09375
33,HydrogenDonor,7,-7.5179800000000006,-0.58546,-13.890679999999998,1.072566269002984,yellow,6.0,0.1429371546666667,0.1875
34,HydrogenDonor,8,-3.8163666666750005,-1.6652,-14.135666666675,1.974859702545557,yellow,4.0,0.8698847133333333,0.125
35,HydrogenDonor,9,-5.055,4.514225000000001,-7.759425,1.9802568497561484,yellow,5.0,1.1044905709999997,0.15625
36,HydrogenDonor,10,-2.3889,6.7933,-5.0172,0.5,yellow,2.0,0.0,0.0625
37,HydrogenDonor,11,-2.13145,4.3831500000000005,-7.755300000000001,1.0830715950893173,yellow,3.0,0.2266483233333334,0.09375
38,HydrogenDonor,12,-2.9546499999999996,1.7264,-10.8924,1.9725200142952215,yellow,3.0,1.4455434616666658,0.09375
39,HydrogenDonor,13,1.7056,2.5776,-9.9299,0.5,yellow,2.0,0.0,0.0625
40,HydrogenDonor,14,2.8346,1.03,-12.3963,0.5,yellow,2.0,0.0,0.0625
41,Hydrophobic,1,-16.312366666675,2.071355555566667,-10.3469,2.6642242760204384,green,4.0,1.5235145012962967,0.125
42,Hydrophobic,2,-14.706833333316666,5.352766666683333,-10.203833333316666,1.0000000000288665,green,2.0,8.332150553234746e-22,0.0625
