## Torsion are defined with the following atomIDs:
# dihed1: ai= 5371 aj= 2689 ak= 2688 al= 2687
# dihed2: ai= 2690 aj= 2684 ak= 2682 al= 2681
# dihed3: ai= 2680 aj= 2679 ak= 2677 al= 2674
# dihed4: ai= 2679 aj= 2677 ak= 2674 al= 2675
# dihed5: ai= 2676 aj= 2671 ak= 2695 al= 2694
# dihed6: ai= 2692 aj= 2691 ak= 2698 al= 2697
# dihed7: ai= 2691 aj= 2698 ak= 2697 al= 5382
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7
88 -156.127  -37.680   44.480   16.577  162.886  -97.697 -176.366
89  155.246   20.112   33.559   30.427 -133.685  -18.228 -174.948
90  170.697   -2.497   38.949   31.395  163.061 -117.761  162.398
91  178.287   -6.560    5.656   46.218  157.206  -17.575  172.310
92  154.203   -2.235   18.097   39.951  165.183  -83.374  170.661
93 -165.769   -9.379   -5.218   67.498  158.083 -113.759 -178.594
94 -173.901   -9.350   18.848   53.769  156.368  135.471  179.782
95  165.190    6.215   20.696   26.724  -24.013  -62.989 -156.380
96 -175.156   14.371    9.712   40.578  -12.429  -72.565  170.464
97  175.543   10.887    8.117   36.141  -39.906  -46.370 -173.840
98 -144.583  -56.609   37.676 -148.791   57.627   70.677 -171.770
99 -175.125  -46.140   10.461 -139.584  -14.642 -102.229  167.104
100  178.203  -28.284   19.484 -142.108  -16.133  -90.532 -170.810
101  160.021   -9.908   15.248 -125.599  -20.641  -89.206 -168.764
102 -153.651  -22.495   19.668 -119.947  -38.456  131.051  166.778
103 -170.305  -22.229   26.037 -147.931  -38.693 -178.177  173.206
104  157.047   12.538    6.505 -127.679   54.685  -27.723  173.402
105 -157.709  -15.298    3.980 -131.484  -18.196  -21.477  170.295
106  167.672   -7.299   23.747 -149.570  -18.289 -179.132 -168.112
107 -148.646   -4.763    0.445 -114.999  -13.504 -159.475  176.440
108 -161.821  -43.499    8.901 -121.524   37.798   58.251  177.375
109 -172.151    1.550    5.909 -130.938  -15.887  -11.177  169.812
110 -168.999   14.308   -2.068 -130.203  -64.273   14.045 -178.059
111 -157.333  -29.059   42.752 -152.144  -26.202 -158.084  179.804
112  160.504   -2.381   18.667 -141.472   -8.400   44.468 -177.184
113 -148.762    9.718   -4.596 -139.816  -19.547  -85.847 -177.379
114 -166.147  -38.957   43.356 -160.947  -44.031  -21.719  166.517
115  -27.663  -41.142   40.658 -155.047  -21.130   -8.520 -179.591
116   -0.921  -62.884   18.951 -152.531   -4.914   -0.464 -167.449
117    0.825   -6.975    1.015 -125.090  -23.323    7.372 -155.808
