  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      126        1.946        5.624            0      379.084      188.756      185.548
      127        1.885        5.792            0      377.693      198.797      183.059
      128        2.017        5.616            0      372.529      200.506      176.971
      129        1.932        5.745            0      375.615      202.354      178.164
      130        1.999        5.716            0      378.044      202.574      182.963
      131        1.920        5.736            0      375.732      218.268      176.852
      132        1.942        5.703            0      379.022      193.986      182.859
      133        1.367        5.724            0      380.062      225.546      186.988
      134        1.263        5.716            0      375.768      215.815      175.440
      135        1.347        5.673            0      375.933      205.554      177.743
      136        1.254        5.586            0      374.861      205.365      176.448
      137        1.082        5.788            0      378.989      217.241      182.670
      138        0.882        5.838            0      379.566      236.109      190.527
      139        1.322        5.580            0      370.356      239.908      172.615
      140        0.981        5.726            0      375.397      269.627      177.086
      141        1.692        5.495            0      375.006      230.785      173.682
      142        1.674        5.652            0      379.475      197.526      182.293
      143        1.707        5.741            0      379.569      189.429      183.982
      144        1.912        5.647            0      375.676      200.470      173.670
      145        1.782        5.809            0      379.708      185.093      181.129
      146        1.704        5.623            0      376.359      187.448      178.918
      147        1.777        5.683            0      375.694      181.209      181.294
      148        1.188        5.752            0      380.542      201.917      180.552
      149        1.688        5.781            0      378.048      169.369      180.860
      150        1.271        5.494            0      372.488      170.188      170.438
      151        1.639        5.574            0      376.617      203.081      180.983
      152        1.642        5.717            0      381.752      213.553      187.703
      153        1.660        5.715            0      383.801      225.770      189.301
      154        1.675        5.534            0      376.574      182.313      183.415
      155        1.658        5.689            0      375.538      187.497      181.496
      156        1.791        5.563            0      373.280      188.248      185.756
      157        1.649        5.654            0      376.582      163.870      185.101
      158        1.727        5.691            0      377.415      184.014      183.404
      159        1.818        5.548            0      374.176      177.531      176.898
      160        1.723        5.617            0      377.798      184.754      184.848
      161        1.691        5.513            0      377.099      188.295      183.272
      162        1.786        5.620            0      375.618      182.551      171.318
      163        1.720        5.569            0      377.222      186.320      183.028
      164        1.846        5.662            0      380.171      189.225      183.994
      165        1.488        5.580            0      379.954      157.409      192.223
      166        1.783        5.571            0      375.295      175.361      178.133
      167        1.151        5.620            0      381.000      176.936      187.877
      168        1.379        5.599            0      372.593      212.057      172.645
      169        1.110        5.667            0      374.097      210.039      173.282
      170        1.294        5.576            0      373.722      205.362      176.751
      171        0.980        5.646            0      382.576      204.952      189.051
      172        1.264        5.804            0      377.128      195.407      173.544
      173        1.240        5.635            0      379.763      159.468      184.402
      174        1.063        5.783            0      382.542      212.359      185.182
      175        1.158        5.640            0      376.130      175.819      173.260
      176        1.199        5.702            0      382.686      162.229      186.819
      177        1.105        5.432            0      372.970      176.064      179.106
      178        1.159        5.553            0      377.695      181.366      179.578
      179        1.400        5.388            0      372.054      157.938      183.843
      180        1.675        5.735            0      379.559      198.139      184.337
      181        1.483        5.739            0      379.468      186.847      187.734
      182        1.282        5.674            0      379.478      144.043      182.516
      183        1.268        5.660            0      382.217      161.019      191.473
      184        1.354        5.644            0      378.958      180.563      189.567
      185        1.762        5.680            0      381.708      198.483      187.081
      186        1.616        5.651            0      379.332      192.206      187.110
      187        1.634        5.660            0      378.739      167.980      184.759
      188        1.724        5.762            0      378.606      186.054      186.930
      189        1.717        5.644            0      380.849      202.910      186.264
      190        1.217        5.748            0      379.805      134.598      185.006
      191        1.222        5.722            0      381.469      140.924      191.172
      192        1.198        5.646            0      378.990      144.990      186.797
      193        1.782        5.672            0      380.605      203.771      188.236
      194        1.810        5.626            0      379.293      183.212      186.340
      195        1.494        5.497            0      376.233      174.063      183.697
      196        1.247        5.752            0      380.152      176.444      185.664
      197        1.822        5.676            0      376.725      190.478      183.613
      198        1.620        5.705            0      377.382      191.552      186.202
      199        1.291        5.679            0      379.764      170.395      186.548
      200        1.364        5.415            0      376.466      166.221      180.617
      201        1.279        5.549            0      377.122      176.807      184.540
      202        1.206        5.684            0      381.600      155.055      193.152
      203        1.203        5.695            0      380.317      147.070      191.454
      204        1.225        5.512            0      377.183      149.517      186.085
      205        1.333        5.620            0      381.884      140.967      190.366
      206        1.155        5.603            0      376.577      158.383      184.070
      207        1.258        5.735            0      384.034      159.458      193.569
      208        1.209        5.427            0      377.718      172.701      189.110
      209        1.504        5.440            0      375.795      187.232      184.139
      210        1.122        5.757            0      380.290      183.962      183.059
      211        1.328        5.675            0      378.280      219.404      185.576
      212        1.831        5.828            0      380.051      254.577      187.247
      213        1.346        5.676            0      380.830      208.241      189.499
      214        1.405        5.615            0      378.328      175.630      188.908
      215        1.844        5.618            0      380.141      151.891      193.481
      216        1.521        5.601            0      377.961      157.811      190.898
      217        1.764        5.676            0      380.685      166.177      192.283
      218        2.117        5.704            0      383.586      251.814      188.633
      219        1.987        5.748            0      381.942      259.698      191.938
      220        1.297        5.584            0      378.427      167.636      184.822
      221        1.296        5.546            0      376.663      155.705      185.720
      222        1.905        5.753            0      377.209      255.397      181.416
      223        1.175        5.659            0      381.030      154.731      191.657
      224        1.307        5.741            0      381.773      151.850      184.644
      225        1.223        5.513            0      377.076      174.991      185.752
      226        1.341        5.569            0      375.581      193.836      185.326
      227        1.238        5.458            0      375.051      162.723      186.065
      228        1.391        5.535            0      374.502      162.508      186.815
      229        1.244        5.553            0      377.759      156.970      184.889
      230        1.158        5.708            0      381.408      168.168      191.092
      231        1.296        5.729            0      380.806      188.338      188.281
      232        1.350        5.487            0      372.693      166.340      186.051
      233        1.224        5.549            0      374.929      162.519      185.482
      234        1.345        5.589            0      375.978      193.661      185.182
      235        1.266        5.705            0      380.993      170.803      185.782
      236        1.195        5.592            0      378.089      157.008      187.314
      237        1.308        5.653            0      382.671      160.427      189.836
      238        1.424        5.468            0      378.810      172.880      184.365
      239        1.384        5.564            0      376.794      140.739      185.604
      240        1.391        5.792            0      381.084      216.987      193.251
      241        1.333        5.649            0      380.000      158.577      187.665
      242        1.841        5.645            0      375.875      164.668      176.750
      243        1.157        5.739            0      378.948      156.460      178.491
