  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy Lig_wrt_Protein  Lig_wrt_Ligand
       101      6.008           6.073           6.324           6.053           5.010           0.864
       102      6.336           6.411           6.609           6.378           5.378           0.752
       103      6.976           7.108           7.161           6.998           4.682           0.616
       104      7.618           7.812           7.777           7.619           5.226           1.443
       105      7.478           7.635           7.793           7.528           5.632           0.940
       106      7.613           7.752           7.766           7.594           5.214           0.795
       107      8.035           8.161           8.119           7.991           5.880           1.061
       108      8.407           8.602           8.644           8.403           6.553           1.491
       109      8.366           8.545           8.594           8.366           5.721           0.908
       110      8.628           8.819           8.692           8.566           6.392           1.044
       111      8.244           8.419           8.365           8.200           5.147           0.751
       112      8.135           8.305           8.231           8.095           5.478           0.931
       113      8.392           8.584           8.510           8.372           5.345           0.986
       114      8.463           8.635           8.535           8.413           5.684           0.943
       115      7.481           7.631           7.546           7.428           4.762           0.975
       116      7.406           7.542           7.553           7.382           5.232           0.848
       117      7.629           7.780           7.638           7.542           4.851           0.933
       118      7.876           8.075           7.997           7.855           5.365           1.506
       119      8.293           8.464           8.386           8.240           5.543           1.291
       120      7.733           7.898           7.856           7.673           5.429           1.041
       121      7.335           7.492           7.356           7.250           4.790           1.025
       122      7.084           7.207           7.049           6.972           5.230           1.892
       123      6.640           6.785           6.779           6.610           5.315           1.947
       124      7.536           7.723           7.666           7.515           5.437           1.982
       125      7.376           7.524           7.568           7.390           5.548           1.922
       126      7.021           7.193           7.264           7.060           5.091           1.946
       127      6.202           6.332           6.426           6.250           5.252           1.885
       128      6.322           6.449           6.565           6.357           5.770           2.017
       129      6.911           7.003           7.104           6.910           5.400           1.932
       130      7.017           7.189           7.224           7.024           5.596           1.999
       131      6.955           7.107           7.221           7.000           5.324           1.920
       132      7.593           7.743           7.861           7.615           5.442           1.942
       133      7.072           7.200           7.383           7.138           5.460           1.367
       134      6.819           6.901           7.273           6.907           5.286           1.263
       135      6.983           7.047           7.468           7.087           5.231           1.347
