name,smiles
WIJV_CDK2,CC(=O)Nc1c(F)cc(Nc2ncc3ccc(=O)n(CC4CC4)c3n2)cc1Cl
CXVK_MAPK14,Cn1c(=O)c(Cc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc21
WRRN_TRPV1,O=C(Cc1ccc2c(c1)CCC2)NCc1cc(C(F)(F)F)nn1-c1ccc(F)cc1
NMHJ_MAP3K14,CC(O)(C#Cc1ccc(N2CCN(S(=O)(=O)C3CC3)CC2)c(Nc2ncnc3[nH]ccc23)c1)c1nccs1
DKPI_ACHE,COc1cccc(CN(C)Cc2ccc(C(=O)NCCc3c[nH]c4ccc(OC)cc34)cc2)c1
NLBY_ADORA3,CC(C)n1ncc2cc(C(=O)NCc3ccco3)cnc21
FVXS_CYP11B1,O=c1c2ccc(Br)cc2oc2cc(Cn3ccnc3)ccc12
JBRC_PIK3CA,O=C(Nc1ccc(C(=O)NCCN2CCCCC2)cc1)Nc1ccc(-c2nc(N3CCOCC3)nc(N3C4COCC3COC4)n2)cc1
YICI_TRIM24,Cn1c(=O)n(C)c2cc(NS(=O)(=O)c3ccc4c(c3)CCCC4)ccc21
PLXM_ABL1,CNCCOc1ccc(-c2sc3nc(-c4cccs4)nc(NN4C(=O)C=C(C)C4=O)c3c2C)cc1
WVPS_CSNK1G2,NC1C2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)CC12
GTUP_CCR2,O=C(C=Cc1cccc(C(F)(F)F)c1)N1CCC(CN2CCC(c3ccc(Cl)cc3)CC2)CC1
CYTJ_STAT3,Cc1c(C(=O)NN=CC(Br)=Cc2ccccc2)[nH][nH]c1=O
PZUA_CA9,Cc1cc(=O)n2c(C(=O)NN=Cc3ccncc3)nn(-c3ccc(S(N)(=O)=O)cc3)c2n1
VAZM_ICMT,COc1ccccc1-c1ccc2c(c1)c(CC(N)=O)cn2Cc1ccccc1
DGTR_LIMK2,CC(C)Oc1cccc(NC(=O)C2(N(C)C)CCN(c3ncnc4[nH]c5c(c34)CCCC5)CC2)c1
LARR_PDGFRB,Cc1cccc(C)c1-c1cc(C)c2nc(Nc3cccc(OCCN4CCN(C)CC4)c3)nnc2c1
WVSC_CDC7,CCCCn1c(-c2ccnc(N)n2)cc2c1CCNC2=O
KMZA_CTSH,CC(=O)c1c(Nc2ccc(Br)cc2)[nH]c2c(Br)ccc(Br)c2c1=O
FQDY_PIK3CB,CNc1cc(-c2ccc3ncc4c(c3c2)n(-c2cn(C)nc2C)c(=O)n4C)cnc1CO
JRHV_GHSR,COc1ccc(CN2C(C(Cc3c[nH]c4ccccc34)NC(=O)C(C)N)=NNC2CCc2ccccc2)cc1
