@structureId,@chemicalID,@type,@molecularWeight,InChIKey,smiles
6USC,KO2,"D-saccharide, alpha linking",294.255,MJWRJGHIYDIAQR-RUEXUQCSSA-N,C=CCO[C@@]1([C@H]([C@H]([C@H]([C@H](O1)[C@@H](CO)O)O)O)O)C(=O)O
7YA9,PEG,NON-POLYMER,106.12,MTHSVFCYNBDYFN-UHFFFAOYSA-N,C(COCCO)O
8FHD,P5S,NON-POLYMER,792.075,TZCPCKNHXULUIY-RGULYWFUSA-N,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CCCCCCCCCCCCCCCCC
8GZ1,NAG,"D-saccharide, beta linking",221.208,OVRNDRQMDRJTHS-FMDGEEDCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
8GZ2,WMK,non-polymer,301.253,STNXQECXKDMLJK-LQRXLWILSA-N,C([C@@]1([C@H]2[C@@H]3[C@H]4N=C(N[C@@]35[C@H]([C@@H]1O[C@]([C@H]5O4)(O2)O)O)N)O)O
4PHC,HIS,L-PEPTIDE LINKING,156.162,HNDVDQJCIGZPNO-YFKPBYRVSA-O,c1c([nH+]c[nH]1)C[C@@H](C(=O)O)N
2Y1W,849,non-polymer,381.486,SPSRJAZORUFUOI-UHFFFAOYSA-N,CNCCN1CCC(CC1)c2ccc3c(c2)c(c([nH]3)c4ccccc4OC)F
2Y1X,845,non-polymer,497.472,AIYASLHMGKXCHQ-NTBIESDESA-N,C[C@@H](C(=O)NCc1cccc(c1)N2C(=C3NN=C(O3)c4cccc5c4cc[nH]5)C=C(N2)C(F)(F)F)N
4IKP,4IK,L-peptide linking,395.414,CPUNUFGYWFHFOF-TVDBPQCTSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)C[C@H](CC[C@@H](C(=O)O)N)CN)O)O)N
5DWQ,SFG,NON-POLYMER,381.387,LMXOHSDXUQEUSF-YECHIGJVSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)C[C@H](CC[C@@H](C(=O)O)N)N)O)O)N
5DX0,SFG,NON-POLYMER,381.387,LMXOHSDXUQEUSF-YECHIGJVSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)C[C@H](CC[C@@H](C(=O)O)N)N)O)O)N
5DX1,SFG,NON-POLYMER,381.387,LMXOHSDXUQEUSF-YECHIGJVSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)C[C@H](CC[C@@H](C(=O)O)N)N)O)O)N
5DX8,SFG,NON-POLYMER,381.387,LMXOHSDXUQEUSF-YECHIGJVSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)C[C@H](CC[C@@H](C(=O)O)N)N)O)O)N
