@structureId,@chemicalID,@type,@molecularWeight,InChIKey,smiles
4MAN,1Y1,NON-POLYMER,922.487,OEPSXIVYHBPSCA-UHFFFAOYSA-N,CN(C)CCOc1cccc(c1CN2CCN(CC2)c3ccc(c(c3)Oc4ccc5c(c4)cc[nH]5)C(=O)NS(=O)(=O)c6ccc(c(c6)[N+](=O)[O-])NCC7CCOCC7)c8ccc(cc8)Cl
6GL8,F3Q,NON-POLYMER,710.817,VYXJULKGMXJVGI-XIFFEERXSA-N,c1ccc(cc1)N(c2ccc(cc2)O)C(=O)c3cc(n4c3CCCC4)c5cc6c(cc5C(=O)N7Cc8ccccc8C[C@H]7CN9CCOCC9)OCO6
6O0K,LBM,non-polymer,868.439,LQBVNQSMGBZMKD-UHFFFAOYSA-N,CC1(CCC(=C(C1)c2ccc(cc2)Cl)CN3CCN(CC3)c4ccc(c(c4)Oc5cc6cc[nH]c6nc5)C(=O)NS(=O)(=O)c7ccc(c(c7)[N+](=O)[O-])NCC8CCOCC8)C
6O0L,LBM,non-polymer,868.439,LQBVNQSMGBZMKD-UHFFFAOYSA-N,CC1(CCC(=C(C1)c2ccc(cc2)Cl)CN3CCN(CC3)c4ccc(c(c4)Oc5cc6cc[nH]c6nc5)C(=O)NS(=O)(=O)c7ccc(c(c7)[N+](=O)[O-])NCC8CCOCC8)C
6O0M,LBM,non-polymer,868.439,LQBVNQSMGBZMKD-UHFFFAOYSA-N,CC1(CCC(=C(C1)c2ccc(cc2)Cl)CN3CCN(CC3)c4ccc(c(c4)Oc5cc6cc[nH]c6nc5)C(=O)NS(=O)(=O)c7ccc(c(c7)[N+](=O)[O-])NCC8CCOCC8)C
6O0O,F3Q,NON-POLYMER,710.817,VYXJULKGMXJVGI-XIFFEERXSA-N,c1ccc(cc1)N(c2ccc(cc2)O)C(=O)c3cc(n4c3CCCC4)c5cc6c(cc5C(=O)N7Cc8ccccc8C[C@H]7CN9CCOCC9)OCO6
6O0P,LBM,non-polymer,868.439,LQBVNQSMGBZMKD-UHFFFAOYSA-N,CC1(CCC(=C(C1)c2ccc(cc2)Cl)CN3CCN(CC3)c4ccc(c(c4)Oc5cc6cc[nH]c6nc5)C(=O)NS(=O)(=O)c7ccc(c(c7)[N+](=O)[O-])NCC8CCOCC8)C
7LHB,XZD,non-polymer,978.445,CLQLTQZFOGFNCT-UHFFFAOYSA-N,CC1(CCC(=C(C1)c2ccc(cc2)Cl)CN3CCN(CC3)c4ccc(c(c4)Oc5cc-6ccnc6n(c5)COP(=O)(O)O)C(=O)NS(=O)(=O)c7ccc(c(c7)[N+](=O)[O-])NCC8CCOCC8)C
7Y90,JFF,non-polymer,487.958,SHRIZMDECXYRNC-UHFFFAOYSA-N,c1cc(ccc1C(=C(CN)CN)SC[C@H](C(=O)O)NC(=O)O)C(=O)NCCNC(=O)CCl
7YA5,JFF,non-polymer,487.958,SHRIZMDECXYRNC-UHFFFAOYSA-N,c1cc(ccc1C(=C(CN)CN)SC[C@H](C(=O)O)NC(=O)O)C(=O)NCCNC(=O)CCl
8FY1,YF8,non-polymer,1640.478,KQEMZZJSHJCPSI-RYFXIQSLSA-N,Cc1c(scn1)c2ccc(cc2)[C@H](C)NC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)CCCCCCC(=O)N4CCN(CC4)C[C@@]5(CCC(=C(C5)CN6CCN(CC6)c7ccc(cc7)C(=O)NS(=O)(=O)c8ccc(c(c8)S(=O)(=O)C(F)(F)F)N[C@H](CCN9CCOCC9)CSc1ccccc1)c1ccc(cc1)Cl)C)[O]
8FY2,YFH,non-polymer,1681.511,BSXCOLDAQWGIQN-DTQJYWAGSA-N,Cc1c(scn1)c2ccc(cc2)[C@H](C)NC(=O)[C@@H]3C[C@@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)CN4CCN(CC4)CC(=O)N5CCN(CC5)C[C@@]6(CCC(=C(C6)CN7CCN(CC7)c8ccc(cc8)C(=O)NS(=O)(=O)c9ccc(c(c9)S(=O)(=O)C(F)(F)F)N[C@H](CCN1C[C@H]2C[C@@H]1CO2)CSc1ccccc1)c1ccc(cc1)Cl)C)O
8HOG,98I,non-polymer,890.1,ZQTKOYMWCCSKON-XKXNWSITSA-N,CC(C)c1ccccc1[C@@H]2CCCN2C3CC4(C3)CCN(CC4)c5ccc(c(c5)Oc6cc7cc[nH]c7nc6)C(=O)NS(=O)(=O)c8ccc(c(c8)N(=O)=O)NCC9CCC(CC9)(C)O
8HOH,98I,non-polymer,890.1,ZQTKOYMWCCSKON-XKXNWSITSA-N,CC(C)c1ccccc1[C@@H]2CCCN2C3CC4(C3)CCN(CC4)c5ccc(c(c5)Oc6cc7cc[nH]c7nc6)C(=O)NS(=O)(=O)c8ccc(c(c8)N(=O)=O)NCC9CCC(CC9)(C)O
8HOI,98I,non-polymer,890.1,ZQTKOYMWCCSKON-XKXNWSITSA-N,CC(C)c1ccccc1[C@@H]2CCCN2C3CC4(C3)CCN(CC4)c5ccc(c(c5)Oc6cc7cc[nH]c7nc6)C(=O)NS(=O)(=O)c8ccc(c(c8)N(=O)=O)NCC9CCC(CC9)(C)O
8HTR,MWH,non-polymer,807.313,SMXXGDKPPGHBSW-LHEWISCISA-N,c1ccc(c(c1)[C@@H]2CCCN2c3ccc(cc3)c4ccc(c(c4)Oc5cc6cc[nH]c6nc5)C(=O)NS(=O)(=O)c7ccc(c(c7)[N+](=O)[O-])NCC8CCOCC8)Cl
8HTS,N2L,non-polymer,860.031,IVXFXSGHRVGVIZ-WBCKFURZSA-N,c1ccc(c(c1)[C@@H]2CCCN2C3CC4(C3)CCN(CC4)c5ccc(c(c5)Oc6cc7cc[nH]c7nc6)C(=O)NS(=O)(=O)c8ccc(c(c8)[N+](=O)[O-])NCC9CCOCC9)C1CC1
8U27,ULL,non-polymer,506.391,RWCWONWFSWXBCW-DEOSSOPVSA-N,CC(C)OC(=O)Nc1ccc(cc1)C2=NN([C@@H](C2)c3ccccc3)C(=O)c4ccc(cc4)Br
8VWZ,F3Q,NON-POLYMER,710.817,VYXJULKGMXJVGI-XIFFEERXSA-N,c1ccc(cc1)N(c2ccc(cc2)O)C(=O)c3cc(n4c3CCCC4)c5cc6c(cc5C(=O)N7Cc8ccccc8C[C@H]7CN9CCOCC9)OCO6
8VXM,F3Q,NON-POLYMER,710.817,VYXJULKGMXJVGI-XIFFEERXSA-N,c1ccc(cc1)N(c2ccc(cc2)O)C(=O)c3cc(n4c3CCCC4)c5cc6c(cc5C(=O)N7Cc8ccccc8C[C@H]7CN9CCOCC9)OCO6
2WZB,ADP,NON-POLYMER,427.201,XTWYTFMLZFPYCI-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N
2WZC,ADP,NON-POLYMER,427.201,XTWYTFMLZFPYCI-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N
2WZD,ADP,NON-POLYMER,427.201,XTWYTFMLZFPYCI-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N
2X13,ADP,NON-POLYMER,427.201,XTWYTFMLZFPYCI-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N
2X14,ACP,NON-POLYMER,505.208,UFZTZBNSLXELAL-IOSLPCCCSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@@](=O)(O)O[P@](=O)(CP(=O)(O)O)O)O)O)N
2X15,ATP,NON-POLYMER,507.181,ZKHQWZAMYRWXGA-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O)O)N
2XE6,3PG,NON-POLYMER,186.057,OSJPPGNTCRNQQC-UWTATZPHSA-N,C([C@H](C(=O)O)O)OP(=O)(O)O
2XE7,ADP,NON-POLYMER,427.201,XTWYTFMLZFPYCI-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N
