@structureId,@chemicalID,@type,@molecularWeight,InChIKey,smiles
2HAV,CIT,NON-POLYMER,192.124,KRKNYBCHXYNGOX-UHFFFAOYSA-N,C(C(=O)O)C(CC(=O)O)(C(=O)O)O
3QYT,NAG,"D-saccharide, beta linking",221.208,OVRNDRQMDRJTHS-FMDGEEDCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
3S9L,NAG,"D-saccharide, beta linking",221.208,OVRNDRQMDRJTHS-FMDGEEDCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
3S9M,NAG,"D-saccharide, beta linking",221.208,OVRNDRQMDRJTHS-FMDGEEDCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
3S9N,NAG,"D-saccharide, beta linking",221.208,OVRNDRQMDRJTHS-FMDGEEDCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
3V83,P6G,NON-POLYMER,282.331,IIRDTKBZINWQAW-UHFFFAOYSA-N,C(COCCOCCOCCOCCOCCO)O
3V8X,C8E,NON-POLYMER,306.438,FEOZZFHAVXYAMB-UHFFFAOYSA-N,CCCCCCCCOCCOCCOCCOCCO
4H0W,NAG,"D-saccharide, beta linking",221.208,OVRNDRQMDRJTHS-FMDGEEDCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
4X1B,MLI,NON-POLYMER,102.046,OFOBLEOULBTSOW-UHFFFAOYSA-L,C(C(=O)[O-])C(=O)[O-]
4X1D,YB,NON-POLYMER,173.04,AWSFICBXMUKWSK-UHFFFAOYSA-N,[Yb+3]
5DYH,CIT,NON-POLYMER,192.124,KRKNYBCHXYNGOX-UHFFFAOYSA-N,C(C(=O)O)C(CC(=O)O)(C(=O)O)O
5H52,CIT,NON-POLYMER,192.124,KRKNYBCHXYNGOX-UHFFFAOYSA-N,C(C(=O)O)C(CC(=O)O)(C(=O)O)O
5WTD,MLI,NON-POLYMER,102.046,OFOBLEOULBTSOW-UHFFFAOYSA-L,C(C(=O)[O-])C(=O)[O-]
5X5P,NTA,NON-POLYMER,191.139,MGFYIUFZLHCRTH-UHFFFAOYSA-N,C(C(=O)O)N(CC(=O)O)CC(=O)O
5Y6K,8R6,NON-POLYMER,503.462,PXHFYCYQDOVEPO-INIZCTEOSA-N,CC1=C(C(=O)Oc2c1ccc(c2)N=[N+]=[N-])CC(=O)NCCCC[C@@H](C(=O)O)N(CC(=O)O)CC(=O)O
6CTC,POP,NON-POLYMER,175.959,XPPKVPWEQAFLFU-UHFFFAOYSA-L,O[P@@](=O)([O-])O[P@@](=O)(O)[O-]
6D03,NAG,"D-saccharide, beta linking",221.208,OVRNDRQMDRJTHS-FMDGEEDCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
6D04,NAG,"D-saccharide, beta linking",221.208,OVRNDRQMDRJTHS-FMDGEEDCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
6D05,NAG,"D-saccharide, beta linking",221.208,OVRNDRQMDRJTHS-FMDGEEDCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
6JAS,CIT,NON-POLYMER,192.124,KRKNYBCHXYNGOX-UHFFFAOYSA-N,C(C(=O)O)C(CC(=O)O)(C(=O)O)O
