@structureId,@chemicalID,@type,@molecularWeight,InChIKey,smiles
7N8T,AMP,NON-POLYMER,347.221,UDMBCSSLTHHNCD-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N
8ELC,Y56,non-polymer,588.702,HDSKLOGUAXMLMX-MHZLTWQESA-N,CN(C)CCCC(=O)Nc1ccc(cc1)C(=O)N2CC[C@@H](C2)Nc3nccc(n3)c4c5ccccn5nc4c6ccccc6
3S2K,NAG,"D-saccharide, beta linking",221.208,OVRNDRQMDRJTHS-FMDGEEDCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
3SOQ,NAG,"D-saccharide, beta linking",221.208,OVRNDRQMDRJTHS-FMDGEEDCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
5GJE,NAG,"D-saccharide, beta linking",221.208,OVRNDRQMDRJTHS-FMDGEEDCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
1Y9R,1CA,NON-POLYMER,330.461,ZESRJSPZRDMNHY-YFWFAHHUSA-N,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)CO)CCC4=CC(=O)CC[C@]34C
1YA3,STR,NON-POLYMER,314.462,RJKFOVLPORLFTN-LEKSSAKUSA-N,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C
2A3I,C0R,NON-POLYMER,346.461,OMFXVFTZEKFJBZ-HJTSIMOOSA-N,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O
2AA2,AS4,NON-POLYMER,360.444,PQSUYGKTWSAVDQ-ZVIOFETBSA-N,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C=O)O
2AA5,STR,NON-POLYMER,314.462,RJKFOVLPORLFTN-LEKSSAKUSA-N,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C
2AA6,STR,NON-POLYMER,314.462,RJKFOVLPORLFTN-LEKSSAKUSA-N,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C
2AA7,1CA,NON-POLYMER,330.461,ZESRJSPZRDMNHY-YFWFAHHUSA-N,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)CO)CCC4=CC(=O)CC[C@]34C
2AAX,PDN,NON-POLYMER,358.428,WZTZVUUYKIOIRV-LMZHSBCYSA-N,C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=CO)O)O)CCC4=CC(=O)C=C[C@]34C
2AB2,SNL,NON-POLYMER,416.573,LXMSZDCAJNLERA-ZHYRCANASA-N,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]3[C@@H]1[C@@H]4CC[C@]5([C@]4(CC3)C)CCC(=O)O5)C
2ABI,1CA,NON-POLYMER,330.461,ZESRJSPZRDMNHY-YFWFAHHUSA-N,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)CO)CCC4=CC(=O)CC[C@]34C
2OAX,SNL,NON-POLYMER,416.573,LXMSZDCAJNLERA-ZHYRCANASA-N,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]3[C@@H]1[C@@H]4CC[C@]5([C@]4(CC3)C)CCC(=O)O5)C
3VHU,SNL,NON-POLYMER,416.573,LXMSZDCAJNLERA-ZHYRCANASA-N,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]3[C@@H]1[C@@H]4CC[C@]5([C@]4(CC3)C)CCC(=O)O5)C
3VHV,LD2,NON-POLYMER,365.409,VWKIYKOULJUXRZ-HYARGMPZSA-N,c1ccc(cc1)C/C(=N\n2cnnc2S)/c3ccc4c(c3)NC(=O)CO4
3WFF,WFF,NON-POLYMER,343.281,YDHMBCOVDPWSQA-UHFFFAOYSA-N,c1cc2c(cc1C3=C(C(=O)OC3)c4ccc(cc4F)F)NC(=O)CO2
3WFG,WFG,NON-POLYMER,339.317,FLUKKJOWQPEDIT-JTQLQIEISA-N,C[C@H]1C(=C(C(=O)O1)c2ccc(cc2)F)c3ccc4c(c3)NC(=O)CO4
4PF3,HFN,NON-POLYMER,417.381,YPCPZZOTKIPGMW-UHFFFAOYSA-N,Cc1c(c(n(n1)CC(CO)(F)F)c2ccc(cc2)F)c3ccc4c(c3)NC(=O)CO4
4UDA,DEX,NON-POLYMER,392.461,UREBDLICKHMUKA-CXSFZGCWSA-N,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C
4UDB,CV7,non-polymer,470.598,OXPLANUPKBHPMS-ZXBNPROVSA-N,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1C[C@@H]4[C@]2(O[C@@H](O4)C5CCCCC5)C(=O)CO)CCC6=CC(=O)C=C[C@]36C)O
5HCV,60R,NON-POLYMER,373.376,IGQHIUNZKLGBMZ-DJKKODMXSA-N,c1ccc\2c(c1)COc3cc(ccc3/C2=C/c4ccc5c(c4)NC(=O)CO5)F
5L7E,6Q0,NON-POLYMER,342.412,RZFYAEOEPOUGRI-UHFFFAOYSA-N,Cc1c(c(on1)C)c2ccc(cc2)CNS(=O)(=O)c3ccccc3
5L7G,6QE,NON-POLYMER,448.483,NZZCTDUINJLZLM-UHFFFAOYSA-N,Cc1c(c(on1)COc2cccc(c2F)F)c3ccc(cc3)CNS(=O)(=O)C4(CC4)C
5L7H,6QG,NON-POLYMER,398.475,XUNBRRXZHVGCEW-UHFFFAOYSA-N,Cc1c-2c(on1)COc3cccc(c3)CCCS(=O)(=O)NCc4ccc2cc4
5MWP,ECV,NON-POLYMER,399.372,MBKYLPOPYYLTNW-ZDUSSCGKSA-N,CNC(=O)C[C@H]1COc2cc(ccc2N1C(=O)c3ccc4c(c3)NC(=O)CO4)F
5MWY,YNU,NON-POLYMER,414.491,JUKPWJGBANNWMW-VWBFHTRKSA-N,C[C@]12CCC(=O)C=C1C[C@H]([C@@H]3[C@]24[C@H](O4)C[C@]5([C@H]3CC[C@@]56CCC(=O)O6)C)C(=O)OC
6GEV,EWN,NON-POLYMER,384.401,CERMKIOTMWNAGM-HNNXBMFYSA-N,CC(C)C[C@H]1COc2cc(ccc2N1C(=O)c3ccc4c(c3)NC(=O)CO4)F
6GG8,EY8,NON-POLYMER,421.4,FDWPXNLUFQNWMH-GFCCVEGCSA-N,c1cc2c(cc1C(=O)N3c4ccc(cc4OC[C@@H]3CS(=O)(=O)N)F)NC(=O)CO2
6GGG,EYN,NON-POLYMER,455.479,OUCNRPREOGLYEL-INIZCTEOSA-N,CC(C)Cc1cc2c(cc1F)OC[C@@H](N2C(=O)c3ccc4c(c3)NC(=O)CO4)CC(=O)NC
6L88,E6R,non-polymer,466.473,NOSNHVJANRODGR-UHFFFAOYSA-N,Cc1c(cn(c1c2ccccc2C(F)(F)F)CCO)C(=O)Nc3ccc(cc3)S(=O)(=O)C
4KC3,NAG,"D-saccharide, beta linking",221.208,OVRNDRQMDRJTHS-FMDGEEDCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
1HJV,NAG,"D-saccharide, beta linking",221.208,OVRNDRQMDRJTHS-FMDGEEDCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
1HJW,NAG,"D-saccharide, beta linking",221.208,OVRNDRQMDRJTHS-FMDGEEDCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
8R41,XUF,non-polymer,424.398,ZIMCMBNSEPJKGB-UHFFFAOYSA-N,COCCN(CCc1ccc(cc1)Br)C2CCN(CC2)c3nccs3
8R42,XUC,non-polymer,355.904,XCVVDQHGTQAUAD-HXUWFJFHSA-N,c1ccnc(c1)N2CCC(CC2)N3CCC[C@@H]3Cc4ccc(cc4)Cl
8R4X,XZ0,non-polymer,420.375,GQUVGWGVUVRLTF-KKSFZXQISA-N,C[C@H]1CN([C@H](CO1)Cc2ccc(cc2)Cl)C3CCN(CC3)c4cc(ccn4)Cl
6J8E,9Z9,NON-POLYMER,544.805,CEEBZAXXSRFQIC-GZSGZGDASA-N,C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)OCCC(COC)COC)C)C)C)OC1
6QB8,ADP,NON-POLYMER,427.201,XTWYTFMLZFPYCI-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N
7NVL,ADP,NON-POLYMER,427.201,XTWYTFMLZFPYCI-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N
7NVM,ADP,NON-POLYMER,427.201,XTWYTFMLZFPYCI-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N
7NVN,ADP,NON-POLYMER,427.201,XTWYTFMLZFPYCI-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N
7NVO,ADP,NON-POLYMER,427.201,XTWYTFMLZFPYCI-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N
7TRG,ADP,NON-POLYMER,427.201,XTWYTFMLZFPYCI-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N
7TTN,ADP,NON-POLYMER,427.201,XTWYTFMLZFPYCI-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N
7TTT,ADP,NON-POLYMER,427.201,XTWYTFMLZFPYCI-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N
7TUB,ADP,NON-POLYMER,427.201,XTWYTFMLZFPYCI-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N
7WU7,ADP,NON-POLYMER,427.201,XTWYTFMLZFPYCI-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N
7WZ3,ADP,NON-POLYMER,427.201,XTWYTFMLZFPYCI-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N
7X0S,ADP,NON-POLYMER,427.201,XTWYTFMLZFPYCI-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N
7X0V,ADP,NON-POLYMER,427.201,XTWYTFMLZFPYCI-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N
7X3J,ATP,NON-POLYMER,507.181,ZKHQWZAMYRWXGA-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O)O)N
7X3U,ADP,NON-POLYMER,427.201,XTWYTFMLZFPYCI-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N
8HKI,ADP,NON-POLYMER,427.201,XTWYTFMLZFPYCI-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N
8I1U,ADP,NON-POLYMER,427.201,XTWYTFMLZFPYCI-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N
