@structureId,@chemicalID,@type,@molecularWeight,InChIKey,smiles
5UR1,YY9,NON-POLYMER,640.56,YHIGPAIFBVOPKV-UHFFFAOYSA-N,CN(C)C/C=C/C(=O)N1CCC(CC1)N2c3c(cnc(n3)Nc4ccccc4)CN(C2=O)c5c(c(cc(c5Cl)OC)OC)Cl
5VND,9ES,NON-POLYMER,631.553,HGJBVDYLOQVDMM-UHFFFAOYSA-N,CCC(=O)Nc1cc(ccc1Nc2cc(ncn2)N(C)C(=O)Nc3c(c(cc(c3Cl)OC)OC)Cl)N4CCN(CC4)CC
5W21,NAG,"D-saccharide, beta linking",221.208,OVRNDRQMDRJTHS-FMDGEEDCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
5Z0S,960,NON-POLYMER,414.829,SOZCWCPVKIINOB-UHFFFAOYSA-N,Cn1cc(cn1)c2cc3c(cnn3S(=O)(=O)c4cnc5n4nc(cc5)Cl)nc2
5ZV2,LEV,NON-POLYMER,426.853,WOSKHXYHFSIKNG-UHFFFAOYSA-N,COc1cc2c(cc1C(=O)N)c(ccn2)Oc3ccc(c(c3)Cl)NC(=O)NC4CC4
6C18,YY5,NON-POLYMER,592.517,YDGYWUOFQSHNPV-DVBCCOPCSA-N,CC(C)Nc1ncc2c(n1)N(C(=O)N(C2)c3c(c(cc(c3Cl)OC)OC)Cl)[C@H]4CCN(C4)C(=O)/C=C/CN(C)C
6C19,YY7,NON-POLYMER,564.464,QMKPEUWZSPDYPV-MOEXGYKKSA-N,CNc1ncc2c(n1)N(C(=O)N(C2)c3c(c(cc(c3Cl)OC)OC)Cl)[C@H]4CCN(C4)C(=O)/C=C/CN(C)C
6C1B,YY4,NON-POLYMER,626.534,PBXZRBBBLQGCRI-MAIVGLDJSA-N,CN(C)C/C=C/C(=O)N1CC[C@@H](C1)N2c3c(cnc(n3)Nc4ccccc4)CN(C2=O)c5c(c(cc(c5Cl)OC)OC)Cl
6C1C,YY6,NON-POLYMER,632.581,DAHHYLCBKDFNAT-MAIVGLDJSA-N,CN(C)C/C=C/C(=O)N1CC[C@@H](C1)N2c3c(cnc(n3)NC4CCCCC4)CN(C2=O)c5c(c(cc(c5Cl)OC)OC)Cl
6C1O,MK9,NON-POLYMER,656.603,DNVFTXQYIYFQBW-UHFFFAOYSA-N,CCN(CC)CCCCNc1ncc2c(n1)N(C(=O)N(C2)c3c(c(cc(c3Cl)OC)OC)Cl)Cc4cccc(c4)NC(=O)C=C
6ITJ,AXU,NON-POLYMER,371.392,PTWNXRVSEAJTJH-UHFFFAOYSA-N,Cc1ccc2c(c1)c(c(o2)c3c4c(nn3c5ccccc5)C(=O)NN=C4N)C
6MZQ,TZ0,NON-POLYMER,418.448,KEIPNCCJPRMIAX-HNNXBMFYSA-N,COc1cc(cc(c1)OC)C#Cc2c3c(ncnc3n(n2)[C@H]4CCN(C4)C(=O)C=C)N
6MZW,TZ0,NON-POLYMER,418.448,KEIPNCCJPRMIAX-HNNXBMFYSA-N,COc1cc(cc(c1)OC)C#Cc2c3c(ncnc3n(n2)[C@H]4CCN(C4)C(=O)C=C)N
6NVL,XL6,NON-POLYMER,491.367,HPDWTQKRQUCMTC-UHFFFAOYSA-N,CCC(=O)Nc1cccc(c1Nc2ncc(cn2)OCc3c(c(cc(c3Cl)OC)OC)Cl)C
6P68,O1Y,NON-POLYMER,551.383,HSSHOHYWEFZQKI-UHFFFAOYSA-N,CN(c1cc(ncn1)Nc2c(cn(n2)CCO)NC(=O)C=C)C(=O)Nc3c(c(cc(c3Cl)OC)OC)Cl
6P69,O21,NON-POLYMER,643.564,QBUHMHIIROCODG-UHFFFAOYSA-N,CN1CCN(CC1)CCCN(c2cc(ncn2)Nc3ccccc3NC(=O)C=C)C(=O)Nc4c(c(cc(c4Cl)OC)OC)Cl
7OZB,47I,non-polymer,371.455,OYKIIJTXTXJYKZ-UHFFFAOYSA-O,c1cc(ccc1c2c3ccc(cc3[nH]n2)c4ccc(cc4)O)N5CC[NH2+]CC5
7OZD,42I,non-polymer,329.352,AZRYWRIZWVORFG-UHFFFAOYSA-N,c1ccc(cc1)C(=O)Nc2c3ccc(cc3[nH]n2)c4ccc(cc4)O
7OZF,466,non-polymer,357.405,QKJLYUUEYRTLCL-UHFFFAOYSA-N,CCOc1cccc(c1)c2ccc3c(c2)[nH]nc3NC(=O)c4ccccc4
7WCL,8ZF,non-polymer,487.499,HCDMJFOHIXMBOV-UHFFFAOYSA-N,CCN1c2c3cc([nH]c3ncc2CN(C1=O)c4c(c(cc(c4F)OC)OC)F)CN5CCOCC5
8JMZ,UKI,non-polymer,480.583,TTZSNFLLYPYKIL-UHFFFAOYSA-N,Cc1cc2cc(ccc2[nH]1)Oc3ccnc(n3)Nc4cccc(c4)CS(=O)(=O)NCCN(C)C
8XLO,A1LVQ,non-polymer,619.67,NOZQNRBLSPCZJQ-UHFFFAOYSA-N,COc1cc(cc(c1)OC)N2Cc3cnc(nc3N(C2=O)CCc4ccc(cc4)NC(=O)C=C)Nc5ccccc5NC(=O)C=C
8XZ7,A1LWW,non-polymer,475.45,GKKSEORWFYILJW-UHFFFAOYSA-N,Cc1[nH]c2c(n1)cc(c(c2F)C#Cc3c(c(n(n3)Cc4cccc(c4)NC(=O)C=C)N)C(=O)N)F
8Y22,A1LW9,non-polymer,472.562,ZOBPPKHZWZENPR-UHFFFAOYSA-N,CCC(=O)Nc1ccc(cc1)Cn2c3c(c(n2)c4cc5cc(cc(c5s4)OC)C)c(ncn3)N
8YKI,A1LY1,non-polymer,587.666,IBHOLSBDZMIPPT-UHFFFAOYSA-N,CNC(=O)n1ccc2c1cc(c(c2)Oc3ccnc(c3)NC(=O)c4ccc(cc4)C5CCN(CC5)CCO)OCCOC
6ZVQ,TAR,NON-POLYMER,150.087,FEWJPZIEWOKRBE-LWMBPPNESA-N,[C@H]([C@@H](C(=O)O)O)(C(=O)O)O
4Y7R,TRS,NON-POLYMER,122.143,LENZDBCJOHFCAS-UHFFFAOYSA-O,C(C(CO)(CO)[NH3+])O
8OTS,PTD,NON-POLYMER,100.116,SXRSQZLOMIGNAQ-UHFFFAOYSA-N,C(CC=O)CC=O
8OTT,PTD,NON-POLYMER,100.116,SXRSQZLOMIGNAQ-UHFFFAOYSA-N,C(CC=O)CC=O
2AZ5,307,NON-POLYMER,547.611,JZNXLPPJRFFECJ-UHFFFAOYSA-N,Cc1cc2c(cc1C)OC=C(C2=O)CN(C)CCN(C)Cc3cn(c4c3cccc4)c5cccc(c5)C(F)(F)F
3IT8,NAG,"D-saccharide, beta linking",221.208,OVRNDRQMDRJTHS-FMDGEEDCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
4TWT,38A,NON-POLYMER,210.27,RZPWWYFQBDXLBQ-UHFFFAOYSA-N,Cc1c(c(c(c(c1CO)C)CO)C)CO
5MU8,JNI,NON-POLYMER,514.624,FRBABIFCTILEGV-UHFFFAOYSA-N,c1ccc(cc1)CN(c2ccccc2c3cccc(c3)c4cnc(nc4)N5CCNCC5)c6ccnc(n6)N
5UUI,MTN,NON-POLYMER,264.385,MXZPGYFBZHBAQM-UHFFFAOYSA-N,CC1(C=C(C(N1[O])(C)C)CSS(=O)(=O)C)C
6OOY,A7M,NON-POLYMER,266.338,RZRPPZWEPMDGEI-UHFFFAOYSA-N,Cc1ccc(c(c1)Cn2c3ccccc3nc2CO)C
6OOZ,A6Y,NON-POLYMER,343.422,MKABLXAUPLCAHG-NRFANRHFSA-N,Cc1ccc(c(c1)Cn2c3ccccc3nc2[C@H](c4ccncc4)O)C
6OP0,A7A,NON-POLYMER,423.51,RZGFWGNCSYUEPR-RUZDIDTESA-N,Cc1ccc(c(c1)Cn2c3cc(ccc3nc2[C@@H](c4ccncc4)O)c5cnn(c5)C)C
6X81,UTJ,non-polymer,244.291,VIKXCGPZKMDDCE-UHFFFAOYSA-N,c1cc2ccncc2c(c1)c3ccc(cc3)CC#N
6X82,UTM,non-polymer,553.696,KOBJJEIVOKWSMI-UHFFFAOYSA-N,CN1CCN(CC1)Cc2ccc(c(c2)OCCc3ccc(cc3)c4cccc5c4cncc5)c6c[nH]c7c6cncc7
6X83,UTS,non-polymer,208.258,MNEIJGDSFRHGMS-UHFFFAOYSA-N,c1ccc(cc1)Cn2cnc3c2cccc3
6X85,UTV,non-polymer,317.33,BSVSFPVFEQPRJW-UHFFFAOYSA-N,CC1(C(=O)c2ccccc2N1Cc3ccccc3OC(F)F)C
6X86,UTY,non-polymer,511.575,BTHCNWXORDNTOR-GOSISDBHSA-N,C[C@@H]1CN(CCN1C(=O)CO)c2ncc(cn2)c3ccc4c(c3)N(C(C4=O)(C)C)Cc5cccnc5C#N
7JRA,VGY,non-polymer,436.909,TZXWJHVVESOPPE-CQSZACIVSA-N,C[C@H](c1ccccc1F)Nc2c3cc(ccc3ncc2Cl)c4cnc(nc4)C(C)(C)O
7KP9,A7G,NON-POLYMER,449.496,LRHACCJNWLLTDS-UHFFFAOYSA-N,Cc1nc2ccc(cc2n1Cc3ccccc3OC(F)F)c4ccc(nc4)N5CCNCC5
7KPA,D84,NON-POLYMER,556.559,DNTKSNFCNRDJAC-UHFFFAOYSA-N,c1ccc(c(c1)Cn2c3cc(ccc3nc2COc4cccc(c4)N5CCCC5=O)C6=CNC(=O)C=C6)OC(F)F
7KPB,D84,NON-POLYMER,556.559,DNTKSNFCNRDJAC-UHFFFAOYSA-N,c1ccc(c(c1)Cn2c3cc(ccc3nc2COc4cccc(c4)N5CCCC5=O)C6=CNC(=O)C=C6)OC(F)F
1A52,EST,NON-POLYMER,272.382,VOXZDWNPVJITMN-ZBRFXRBCSA-N,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O
1ERE,EST,NON-POLYMER,272.382,VOXZDWNPVJITMN-ZBRFXRBCSA-N,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O
1ERR,RAL,NON-POLYMER,473.583,GZUITABIAKMVPG-UHFFFAOYSA-N,c1cc(ccc1c2c(c3ccc(cc3s2)O)C(=O)c4ccc(cc4)OCCN5CCCCC5)O
1G50,EST,NON-POLYMER,272.382,VOXZDWNPVJITMN-ZBRFXRBCSA-N,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O
1GWQ,ZTW,NON-POLYMER,242.293,MDGWZLQPNOETLH-UHFFFAOYSA-N,c1cc(ccc1c2cc3ccc(cc3s2)O)O
1GWR,EST,NON-POLYMER,272.382,VOXZDWNPVJITMN-ZBRFXRBCSA-N,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O
1L2I,ETC,NON-POLYMER,320.425,MASYAWHPJCQLSW-ZIAGYGMSSA-N,CC[C@@H]1Cc2cc(ccc2C3=C1c4ccc(cc4C[C@H]3CC)O)O
