@structureId,@chemicalID,@type,@molecularWeight,InChIKey,smiles
5S7K,LU8,NON-POLYMER,432.555,CNEAZWBYXISKKK-UHFFFAOYSA-N,Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)C4CCN(CC4)C
5S7L,LU8,NON-POLYMER,432.555,CNEAZWBYXISKKK-UHFFFAOYSA-N,Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)C4CCN(CC4)C
5S7M,LU8,NON-POLYMER,432.555,CNEAZWBYXISKKK-UHFFFAOYSA-N,Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)C4CCN(CC4)C
5S7N,LU8,NON-POLYMER,432.555,CNEAZWBYXISKKK-UHFFFAOYSA-N,Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)C4CCN(CC4)C
5S7O,LU8,NON-POLYMER,432.555,CNEAZWBYXISKKK-UHFFFAOYSA-N,Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)C4CCN(CC4)C
5S7P,LU8,NON-POLYMER,432.555,CNEAZWBYXISKKK-UHFFFAOYSA-N,Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)C4CCN(CC4)C
5S7Q,LU8,NON-POLYMER,432.555,CNEAZWBYXISKKK-UHFFFAOYSA-N,Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)C4CCN(CC4)C
5S7R,LU8,NON-POLYMER,432.555,CNEAZWBYXISKKK-UHFFFAOYSA-N,Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)C4CCN(CC4)C
5S7S,LU8,NON-POLYMER,432.555,CNEAZWBYXISKKK-UHFFFAOYSA-N,Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)C4CCN(CC4)C
5S7T,LU8,NON-POLYMER,432.555,CNEAZWBYXISKKK-UHFFFAOYSA-N,Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)C4CCN(CC4)C
5S7U,LU8,NON-POLYMER,432.555,CNEAZWBYXISKKK-UHFFFAOYSA-N,Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)C4CCN(CC4)C
5S7V,LU8,NON-POLYMER,432.555,CNEAZWBYXISKKK-UHFFFAOYSA-N,Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)C4CCN(CC4)C
5S7W,LU8,NON-POLYMER,432.555,CNEAZWBYXISKKK-UHFFFAOYSA-N,Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)C4CCN(CC4)C
5S7X,LU8,NON-POLYMER,432.555,CNEAZWBYXISKKK-UHFFFAOYSA-N,Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)C4CCN(CC4)C
5S7Y,LU8,NON-POLYMER,432.555,CNEAZWBYXISKKK-UHFFFAOYSA-N,Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)C4CCN(CC4)C
5S7Z,LU8,NON-POLYMER,432.555,CNEAZWBYXISKKK-UHFFFAOYSA-N,Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)C4CCN(CC4)C
5S80,LU8,NON-POLYMER,432.555,CNEAZWBYXISKKK-UHFFFAOYSA-N,Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)C4CCN(CC4)C
5S81,LU8,NON-POLYMER,432.555,CNEAZWBYXISKKK-UHFFFAOYSA-N,Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)C4CCN(CC4)C
5S82,LU8,NON-POLYMER,432.555,CNEAZWBYXISKKK-UHFFFAOYSA-N,Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)C4CCN(CC4)C
5S83,LU8,NON-POLYMER,432.555,CNEAZWBYXISKKK-UHFFFAOYSA-N,Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)C4CCN(CC4)C
5S84,LU8,NON-POLYMER,432.555,CNEAZWBYXISKKK-UHFFFAOYSA-N,Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)C4CCN(CC4)C
5S85,LU8,NON-POLYMER,432.555,CNEAZWBYXISKKK-UHFFFAOYSA-N,Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)C4CCN(CC4)C
5S86,LU8,NON-POLYMER,432.555,CNEAZWBYXISKKK-UHFFFAOYSA-N,Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)C4CCN(CC4)C
5S87,LU8,NON-POLYMER,432.555,CNEAZWBYXISKKK-UHFFFAOYSA-N,Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)C4CCN(CC4)C
5S88,LU8,NON-POLYMER,432.555,CNEAZWBYXISKKK-UHFFFAOYSA-N,Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)C4CCN(CC4)C
5S89,LU8,NON-POLYMER,432.555,CNEAZWBYXISKKK-UHFFFAOYSA-N,Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)C4CCN(CC4)C
5S8A,LU8,NON-POLYMER,432.555,CNEAZWBYXISKKK-UHFFFAOYSA-N,Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)C4CCN(CC4)C
5S8B,LU8,NON-POLYMER,432.555,CNEAZWBYXISKKK-UHFFFAOYSA-N,Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)C4CCN(CC4)C
5S9K,LU8,NON-POLYMER,432.555,CNEAZWBYXISKKK-UHFFFAOYSA-N,Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)C4CCN(CC4)C
