@structureId,@chemicalID,@type,@molecularWeight,InChIKey,smiles
3R5N,MLO,NON-POLYMER,266.334,VVOAZFWZEDHOOU-UHFFFAOYSA-N,C=CCc1ccc(c(c1)c2cc(ccc2O)CC=C)O
3R8A,HIG,NON-POLYMER,435.524,PACFDFGGIPMOKL-QFIPXVFZSA-N,CCc1nc2c(cc(nc2n1[C@H]3CCc4c3ccc(c4)c5ccccc5c6[nH]nnn6)C)C
3R8I,XCX,NON-POLYMER,438.559,MMVUCPZZXMPIPE-UHFFFAOYSA-N,CCCCCCCN(CCc1ccc(cc1)OC(C)(C)C(=O)O)c2nc3ccccc3o2
3S9S,M0T,NON-POLYMER,452.376,LDYDIGPGIRJQAU-JOCHJYFZSA-N,CC[C@H](c1ccccc1)NC(=O)c2ccc3c(c2)nc(n3Cc4ccc(c(c4)Cl)Cl)C
3SZ1,LU2,NON-POLYMER,286.236,IQPNAANSBPBGFQ-UHFFFAOYSA-N,c1cc(c(cc1C2=CC(=O)c3c(cc(cc3O2)O)O)O)O
3T03,3T0,NON-POLYMER,418.304,AMLZLORVKZAHOH-YVLHZVERSA-N,Cc1ccc(cc1)CN2C(=O)/C(=C/c3cc(ccc3OC)Br)/SC2=O
3TY0,082,NON-POLYMER,484.46,FOYKYLQAKICGEN-AREMUKBSSA-N,C[C@]1(C(=O)NC(=O)O1)c2cccc(c2)CN3c4ccccc4N(C3=O)c5c6ccc(cc6on5)OC
3U9Q,DKA,NON-POLYMER,172.265,GHVNFZFCNZKVNT-UHFFFAOYSA-N,CCCCCCCCCC(=O)O
3V9T,17L,NON-POLYMER,529.537,YMVHWNQNRJLTTN-SSEXGKCCSA-N,CCOc1cc2ccccc2c(c1)CNC(=O)c3c(cc(c4c3OC5=CC(=C(C(=O)[C@@]45C)C(=O)C)O)O)OC
3V9V,21L,NON-POLYMER,571.574,BLDDPMYSIQFXOT-JGCGQSQUSA-N,CC(=O)C1=C(C=C2[C@@](C1=O)(c3c(cc(c(c3O2)C(=O)NCc4cc(cc5c4cccc5)CCC(=O)OC)OC)O)C)O
3V9Y,24L,NON-POLYMER,571.574,AIBZQPUCRUZLOJ-JGCGQSQUSA-N,CC(=O)C1=C(C=C2[C@@](C1=O)(c3c(cc(c(c3O2)C(=O)NCc4cc(cc5c4cccc5)CCCC(=O)O)OC)O)C)O
3VJH,J35,NON-POLYMER,423.425,BEXZWJKLLDXOCX-INIZCTEOSA-N,CCC[C@@H](Cc1ccc(c(c1)CNC(=O)c2ccc(cc2)C(F)(F)F)OC)C(=O)O
3VJI,J53,NON-POLYMER,517.699,DEFUFGZNKMSDHW-KVJCSQNRSA-N,CCCCOc1ccc(cc1CNC(=O)c2ccc(cc2)C34CC5CC(C3)CC(C5)C4)C[C@H](CC)C(=O)O
3VN2,TLS,NON-POLYMER,514.617,RMMXLENWKUUMAY-UHFFFAOYSA-N,CCCc1nc2c(cc(cc2n1Cc3ccc(cc3)c4ccccc4C(=O)O)c5nc6ccccc6n5C)C
3VSO,EK1,NON-POLYMER,509.596,DEAVJKJURZRSJV-AREMUKBSSA-N,CCCOc1ccc(cc1CNC(=O)c2ccc(cc2)c3ncccn3)C[C@@H](Cc4ccccc4)C(=O)O
3VSP,EK8,NON-POLYMER,514.655,ISYAJDFASPMBOB-HHHXNRCGSA-N,CCCOc1ccc(cc1CNC(=O)c2ccc(cc2)N3CCCCC3)C[C@@H](Cc4ccccc4)C(=O)O
3WJ4,TBY,NON-POLYMER,290.053,DBGVGMSCBYYSLD-UHFFFAOYSA-N,CCCC[Sn](CCCC)CCCC
3WJ5,T9T,NON-POLYMER,350.022,NFHRNKANAAGQOH-UHFFFAOYSA-N,c1ccc(cc1)[Sn](c2ccccc2)c3ccccc3
3WMH,JJA,NON-POLYMER,530.595,QEJZUENJDZMHGE-UHFFFAOYSA-N,CCCOc1ccc(cc1CNC(=O)c2ccc(cc2)c3ncccn3)C(=O)NS(=O)(=O)c4ccccc4
3X1H,5OX,NON-POLYMER,358.514,DIXZZUWKTKHHEG-IIFHDYRKSA-N,CC/C=C\C/C=C\C/C=C\C/C=C\CC/C=C/CC(=O)CCCC(=O)O
3X1I,66B,NON-POLYMER,372.541,SOUDNDRWZSIFBW-IIFHDYRKSA-N,CC/C=C\C/C=C\C/C=C\C/C=C\CC/C=C/CC(=O)CCCCC(=O)O
4A4V,YFD,non-polymer,306.397,UJSSSFNGQWZNEN-UHFFFAOYSA-N,CCCCCc1cc(c(c(c1C(=O)O)O)CC=C(C)C)OC
4A4W,YFB,non-polymer,408.53,DKNIJLWIVUCTHW-CPNJWEJPSA-N,CC(=CCC/C(=C/Cc1c(cc(c(c1O)C(=O)O)CCc2ccccc2)OC)/C)C
4CI5,Y1N,non-polymer,404.458,HCISJKNVUOHNQX-OCEACIFDSA-N,CC(C)(C(=O)O)Oc1ccc(cc1)CCOc2ccc(cc2)/N=N/c3ccccc3
4E4K,RRG,NON-POLYMER,360.446,LGZFNUULAZCXCA-QHCPKHFHSA-N,CC(C)c1ccccc1c2ccc(cc2)O[C@@H](Cc3ccccc3)C(=O)O
4E4Q,RRH,NON-POLYMER,360.446,LGZFNUULAZCXCA-HSZRJFAPSA-N,CC(C)c1ccccc1c2ccc(cc2)O[C@H](Cc3ccccc3)C(=O)O
4EM9,TCE,NON-POLYMER,250.186,PZBFGYYEXUXCOF-UHFFFAOYSA-N,C(CP(CCC(=O)O)CCC(=O)O)C(=O)O
4EMA,BRL,NON-POLYMER,357.427,YASAKCUCGLMORW-HNNXBMFYSA-N,CN(CCOc1ccc(cc1)C[C@H]2C(=O)NC(=O)S2)c3ccccn3
4F9M,FCM,NON-POLYMER,531.528,FSXXQAXUJKNDPO-SSEXGKCCSA-N,CCc1cc(c2ccccc2c1CNC(=O)c3c(cc(c4c3OC5=CC(=C(C(=O)[C@@]45C)C(=O)C)O)O)OC)F
4FGY,0W3,NON-POLYMER,709.005,OQWWWMDCZGMEFT-PUAVNTAHSA-N,C[C@H](CCC(=O)O)C[C@H](C)C[C@H](C)C(=O)CC(=O)[C@H](C)C[C@H](C)C/C=C\[C@@H](C)[C@H]([C@@H](C)[C@H](C[C@@H]1CC[C@@](O1)(C)[C@H]2CC[C@@](O2)(C)[C@@H](C)O)O)O
4HEE,14R,NON-POLYMER,513.592,QAYQVTMHUMLSNG-MHZLTWQESA-N,CCc1nc2c(n1[C@H]3CCc4c3ccc(c4)c5ccccc5c6[nH]nnn6)C(=O)N(C=C2)Cc7ccccc7
4JAZ,STL,NON-POLYMER,228.243,LUKBXSAWLPMMSZ-OWOJBTEDSA-N,c1cc(ccc1\C=C\c2cc(cc(c2)O)O)O
4JL4,AXY,NON-POLYMER,394.462,DGMLYRGMJHVKNC-SANMLTNESA-N,c1ccc(cc1)c2ccc(cc2)C[C@@H](C(=O)O)Oc3ccc(cc3)c4ccccc4
4L96,LRG,NON-POLYMER,318.366,TZTPJJNNACUQQR-FQEVSTJZSA-N,c1ccc(cc1)C[C@@H](C(=O)O)Oc2ccc(cc2)c3ccccc3
4L98,LRG,NON-POLYMER,318.366,TZTPJJNNACUQQR-FQEVSTJZSA-N,c1ccc(cc1)C[C@@H](C(=O)O)Oc2ccc(cc2)c3ccccc3
4O8F,BRL,NON-POLYMER,357.427,YASAKCUCGLMORW-HNNXBMFYSA-N,CN(CCOc1ccc(cc1)C[C@H]2C(=O)NC(=O)S2)c3ccccn3
4OJ4,DIF,NON-POLYMER,296.149,DCOPUUMXTXDBNB-UHFFFAOYSA-N,c1ccc(c(c1)CC(=O)O)Nc2c(cccc2Cl)Cl
4PRG,072,NON-POLYMER,614.837,GHJJBEKMPCOSRH-LRHLLKFHSA-N,CCCCCCC[C@H]1N(C(=O)[C@@H](S1)CC(=O)N(Cc2ccccc2)Cc3ccccc3)CCCCc4ccc(cc4)C(=O)O
4PVU,MGZ,NON-POLYMER,330.686,DDTQLPXXNHLBAB-CYBMUJFWSA-N,c1cc(cc(c1)O[C@H](c2ccc(cc2)Cl)C(=O)O)C(F)(F)F
4PWL,MSZ,NON-POLYMER,330.686,DDTQLPXXNHLBAB-ZDUSSCGKSA-N,c1cc(cc(c1)O[C@@H](c2ccc(cc2)Cl)C(=O)O)C(F)(F)F
4R06,3E7,NON-POLYMER,468.567,SEVOIRSEDVSYGP-VWLOTQADSA-N,CC[C@@H](c1ccccc1)NC(=O)c2ccc3c(c2)ccn3S(=O)(=O)c4cccc5c4cccc5
4R2U,3JX,NON-POLYMER,547.6,IIJDFXNUWZTHIM-NRFANRHFSA-N,Cc1c(n(c2c1cc(cc2)C(=O)N[C@@H](C)c3ccc(cc3)[N+](=O)[O-])Cc4ccc(cc4)c5ccccc5C(=O)O)C
4R6S,3K2,NON-POLYMER,547.6,IIJDFXNUWZTHIM-OAQYLSRUSA-N,Cc1c(n(c2c1cc(cc2)C(=O)N[C@H](C)c3ccc(cc3)[N+](=O)[O-])Cc4ccc(cc4)c5ccccc5C(=O)O)C
4XLD,BRL,NON-POLYMER,357.427,YASAKCUCGLMORW-HNNXBMFYSA-N,CN(CCOc1ccc(cc1)C[C@H]2C(=O)NC(=O)S2)c3ccccn3
4XTA,DIF,NON-POLYMER,296.149,DCOPUUMXTXDBNB-UHFFFAOYSA-N,c1ccc(c(c1)CC(=O)O)Nc2c(cccc2Cl)Cl
4XUH,SFI,NON-POLYMER,340.411,LFWHFZJPXXOYNR-MFOYZWKCSA-N,CC\1=C(c2cc(ccc2/C1=C\c3ccc(cc3)SC)F)CC(=O)O
4XUM,IMN,NON-POLYMER,357.788,CGIGDMFJXJATDK-UHFFFAOYSA-N,Cc1c(c2cc(ccc2n1C(=O)c3ccc(cc3)Cl)OC)CC(=O)O
4Y29,CTI,NON-POLYMER,348.372,LLEJIEBFSOEYIV-UHFFFAOYSA-N,C[n+]1cc2c(ccc(c2OC)OC)c3c1c4cc5c(cc4cc3)OCO5
4YT1,JJB,NON-POLYMER,544.621,JNDTXHSMALXHGN-UHFFFAOYSA-N,CCCOc1ccc(cc1CNC(=O)c2ccc(cc2)c3ncccn3)C(=O)NS(=O)(=O)Cc4ccccc4
5AZV,4M5,NON-POLYMER,344.488,XXHHYIQPKMKZSU-BBBWWSJWSA-N,CC/C=C\CC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O
5DSH,6BH,NON-POLYMER,348.352,DCTGPPMQMGEMFR-UHFFFAOYSA-N,c1ccc(cc1)COc2cccc(c2)NC(=O)c3cccc(c3)[N+](=O)[O-]
5DV3,B05,NON-POLYMER,348.352,LWRSEQLBQHKFTL-UHFFFAOYSA-N,c1ccc(cc1)COc2ccccc2NC(=O)c3cccc(c3)[N+](=O)[O-]
5DV6,B4H,NON-POLYMER,178.145,JQVXMNLKFSQZAT-UHFFFAOYSA-N,C=NC(=O)c1cccc(c1)[N+](=O)[O-]
5DV8,T51,NON-POLYMER,593.672,VZOUZIPPEQZPII-UHFFFAOYSA-N,CN1CCN(CC1)Cc2ccc(cc2)C(=O)NCc3ccccc3COc4ccccc4NC(=O)c5cccc(c5)[N+](=O)[O-]
